Trial_ID,Total_Score,1_Knee_Flexion_IC_L,1_Knee_Flexion_IC_R,1_Knee_Flexion_IC_T,2_Hip_Flexion_IC_L,2_Hip_Flexion_IC_R,2_Hip_Flexion_IC_T,3_Trunk_Flexion_IC_T,4_Ankle_Plantar_Flexion_IC_L,4_Ankle_Plantar_Flexion_IC_R,4_Ankle_Plantar_Flexion_IC_T,5_Asymmetrical_Timing,6_Asymmetrical_HeelToe_ToeHeel,7_Lateral_Trunk_Flexion_IC_L,7_Lateral_Trunk_Flexion_IC_R,7_Lateral_Trunk_Flexion_IC_T,8_Medial_Knee_IC_L,8_Medial_Knee_IC_R,8_Medial_Knee_IC_T,9_Stance_Wide_IC_L,9_Stance_Wide_IC_R,9_Stance_Wide_IC_T,10_Stance_Narrow_IC_L,10_Stance_Narrow_IC_R,10_Stance_Narrow_IC_T,11_IR_Foot_IC_L,11_IR_Foot_IC_R,11_IR_Foot_IC_T,12_ER_Foot_IC_L,12_ER_Foot_IC_R,12_ER_Foot_IC_T,13_Knee_Flexion_Displacement_L,13_Knee_Flexion_Displacement_R,13_Knee_Flexion_Displacement_T,14_Hip_Flexion_Displacement_L,14_Hip_Flexion_Displacement_R,14_Hip_Flexion_Displacement_T,15_Trunk_Flexion_Max_T,16_Medial_Knee_Max_L,16_Medial_Knee_Max_R,16_Medial_Knee_Max_T,17_Asymmetrical_Load_T,18_Joint_Displacement_T,19_Overall_Impression_T,1_Knee_Flexion_IC_L_deg,1_Knee_Flexion_IC_R_deg,2_Hip_Flexion_IC_L_deg,2_Hip_Flexion_IC_R_deg,3_Trunk_Flexion_IC_deg,7_Lateral_Trunk_Flexion_IC_deg,8_Medial_Knee_IC_L_deg,8_Medial_Knee_IC_R_deg,9_Stance_Hip_abd_IC_L_deg,9_Stance_Hip_abd_IC_R_deg,11_IR_Foot_IC_L_deg,11_IR_Foot_IC_R_deg,12_ER_Foot_IC_L_deg,12_ER_Foot_IC_R_deg,13_Knee_Flexion_Displacement_L_deg,13_Knee_Flexion_Displacement_R_deg,14_Hip_Flexion_Displacement_L_deg,14_Hip_Flexion_Displacement_R_deg,15_Trunk_Flexion_Max_deg,16_Medial_Knee_Max_L_deg,16_Medial_Knee_Max_R_deg,17_Asymmetrical_Load_L_deg,17_Asymmetrical_Load_R_deg
s1_less_bw_t3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,51.199229193751165,43.42165549161766,46.263914744141246,42.72965499882895,-44.884997656588304,3.0410640697278515,-3.673489075457301,1.7785718754179434,-6.167527345101107,-9.587674052635816,-10.370414067778874,-13.45334437246802,-10.370414067778874,-13.45334437246802,100.25637355402988,100.98407579462832,65.96880274950055,64.80446117377248,-59.59829342270572,6.967969362179413,10.917171198038254,0.2313365035794792,-3.0015720555194254
s1_less_bw_t4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,44.34951327445852,40.28359760950312,38.31413354196688,37.03018311833064,-42.15066003805359,2.1760435620726963,-0.1158523942082435,0.114450996185721,-7.008513249647993,-7.774102824512622,-15.084318174572568,-15.00732066747995,-15.084318174572568,-15.00732066747995,95.62220229158685,96.58620297244086,51.364180636436814,50.19463190840029,-65.70554408836134,9.5407792485687,8.993394062081414,0.7070783507250734,-5.149785113922288
s1_less_bw_t5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,51.54221249800119,44.11413942588016,45.87170114682549,42.66484106395784,-44.32357186711029,2.417901686812614,1.3588907405534154,-2.530741611966251,-5.502423049127529,-9.583216465321328,-13.322845431018532,-15.808590461468988,-13.322845431018532,-15.808590461468988,98.81310588160534,98.97297177544051,55.50773422791912,55.3005068970838,-62.67155740497071,8.686753602527686,7.628400109517612,2.1376453974107026,-7.094942984031361
s1_less_bw_t6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,38.68047220087272,34.0524987395767,35.218610355362706,32.761836363935664,-33.16710806344074,3.2462566928786014,-1.4816453154681053,-0.2376589989812138,-8.415931530325185,-5.284700668728593,-10.69283816584701,-7.577331029445506,-10.69283816584701,-7.577331029445506,102.48926708594357,102.1435239827316,65.58093077850138,64.37734740112971,-60.06728988570474,11.171626074098612,7.431102592694848,3.675355365022948,-9.597454908009258
s1_less_vest_t1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,33.42592294238709,32.500463680633786,34.577229734541305,34.91327062385929,-29.82802518897522,3.765430122072842,-1.3509043201631727,-0.440172878118052,-5.35225180400082,-9.122322912951104,-3.623707022163503,-16.167991282071743,-3.623707022163503,-16.167991282071743,97.11381151440732,93.8221360458618,66.55979048146668,66.67890167882308,-65.7162007783644,11.32404146607184,7.084722859334376,-0.6290049315639499,-7.510157287154563
s1_less_vest_t2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,43.28620030608519,33.53952329743635,36.559852212008245,30.81060367786849,-34.94534411100488,2.2185699460131394,0.3724942654829176,-2.639191056898671,-5.977252832188358,-8.19476147108766,-8.483214048896118,-14.76363485503228,-8.483214048896118,-14.76363485503228,102.84741303170442,101.98812751274038,62.04529796788088,63.36577897153917,-61.110690039634456,8.81259557162967,8.51830861885407,-0.1348267787442972,-4.033130112858371
s1_less_vest_t3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,33.79049808228559,31.350656305222667,33.96952283350039,34.13765499506239,-31.886395466736005,2.8943686062216374,1.2456048480505693,-8.20731707517699,-5.748541933036908,-7.845260332563544,-9.20295571213769,-7.819905000425511,-9.20295571213769,-7.819905000425511,104.26310603047403,99.79573186626824,74.81702822298664,74.45258079040717,-62.25757055817937,7.089242565014645,6.611480522067521,-1.283842315551759,-6.345550612222598
s1_less_vest_t4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,37.41938616079667,32.494156308370414,34.238261106676106,30.899667118044945,-31.974715228465083,3.7675092922189286,3.4215993754542,-2.470955365567849,-6.588336801675811,-7.587486287949597,-13.511448812566158,-17.53102839483989,-13.511448812566158,-17.53102839483989,98.60180831550232,103.2817369100702,64.17320502661912,61.77849509545937,-61.30538001789114,10.49560659359279,13.855567116225846,-7.030333805188685,0.9086168002659832
s1_less_vest_t5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,35.324535454886515,28.565124755658925,34.29894601628267,33.682044084662145,-33.77720233930289,4.893219017023458,-2.801595297050989,-0.3089103859275367,-6.091215874315708,-8.325638212493867,-11.565624788449504,-14.250458689672776,-11.565624788449504,-14.250458689672776,104.02602157142574,100.42368329258156,67.23293771485048,69.39926089063617,-60.39167096020138,10.334915705946022,9.261911148275946,-1.9916425072129176,-4.070803488016642
